DriverID,Abbrev,FirstName,LastName,Nationality,DOB,DebutYear,DriverRole
1,ALB,Alexander,Albon,Thailand,1996-03-23,2019,Main
2,ANT,Andrea Kimi,Antonelli,Italy,2005-08-25,2025,Main
3,LIN,Arvid,Lindblad,United Kingdom,2007-08-08,2026,Main
4,BEA,Oliver,Bearman,United Kingdom,2005-05-08,2024,Main
5,BOR,Gabriel,Bortoleto,Brazil,2004-10-14,2025,Main
6,COL,Franco,Colapinto,Argentina,2003-05-27,2024,Main
7,DOO,Jack,Doohan,Australia,2003-01-20,2024,Reserve
8,GAS,Pierre,Gasly,France,1996-02-07,2017,Main
9,HAD,Isack,Hadjar,France,2004-09-28,2025,Main
10,VER,Max,Verstappen,Netherlands,1997-09-30,2015,Main
11,HAM,Lewis,Hamilton,United Kingdom,1985-01-07,2007,Main
12,LEC,Charles,Leclerc,Monaco,1997-10-16,2018,Main
13,HUL,Nico,Hülkenberg,Germany,1987-08-19,2010,Main
14,LAW,Liam,Lawson,New Zealand,2002-02-11,2023,Main
15,MAG,Kevin,Magnussen,Denmark,1992-10-05,2014,Retired
16,NOR,Lando,Norris,United Kingdom,1999-11-13,2019,Main
17,PER,Sergio,Pérez,Mexico,1990-01-26,2011,Main
18,BOT,Valtteri,Bottas,Finland,1989-08-28,2013,Main
19,PIA,Oscar,Piastri,Australia,2001-04-06,2023,Main
20,RIC,Daniel,Ricciardo,Australia,1989-07-01,2011,Retired
21,SAI,Carlos,Sainz,Spain,1994-09-04,2015,Main
22,RUS,George,Russell,United Kingdom,1998-02-15,2019,Main
23,TSU,Yuki,Tsunoda,Japan,2000-05-11,2021,Test/Reserve
24,OCO,Esteban,Ocon,France,1996-09-17,2016,Main
25,ALO,Fernando,Alonso,Spain,1981-07-29,2001,Main
26,STR,Lance,Stroll,Canada,1998-10-29,2017,Main
27,ZHO,Zhou,Guanyu,China,1999-05-30,2022,Reserve
28,SAR,Logan,Sargeant,USA,2000-12-31,2023,Retired
29,DEV,Nyck,de Vries,Netherlands,1995-02-06,2022,Test
30,MSC,Mick,Schumacher,Germany,1998-10-29,2021,Retired
31,LAT,Nicholas,Latifi,Canada,1995-06-29,2020,Retired
32,VET,Sebastian,Vettel,Germany,1987-07-03,2007,Retired
33,RAI,Kimi,Räikkönen,Finland,1979-10-17,2001,Retired
34,GIO,Antonio,Giovinazzi,Italy,1993-12-14,2017,Retired
35,KUB,Robert,Kubica,Poland,1984-12-07,2006,Retired
36,MAZ,Nikita,Mazepin,Russia,1999-03-02,2021,Retired
