RaceID,CircuitID,Season,RaceNumber,RaceName,RaceDate,Laps,Weather
1,1,2021,1,Bahrain,2021-03-28,56,Sunny & Dry
2,2,2021,2,Emilia Romagna,2021-04-18,63,Dry to Wet
3,3,2021,3,Portuguese,2021-05-02,66,Cool & Dry
4,4,2021,4,Spanish,2021-05-09,66,Wet to Dry
5,5,2021,5,Monaco,2021-05-23,78,Sunny & Dry
6,6,2021,6,Azerbaijan,2021-06-06,51,Sunny & Dry
7,7,2021,7,French,2021-06-20,53,Wet to Dry
8,8,2021,8,Styrian,2021-06-27,71,Wet to Dry
9,8,2021,9,Austrian,2021-07-04,71,Wet to Dry
10,9,2021,10,British,2021-07-18,52,Warm & Dry
11,10,2021,11,Hungarian,2021-08-01,70,Dry to Wet
12,11,2021,12,Belgian,2021-08-29,1,Severe Rain
13,12,2021,13,Dutch,2021-09-05,72,Sunny & Dry
14,13,2021,14,Italian,2021-09-12,53,Warm & Dry
15,14,2021,15,Russian,2021-09-26,53,Wet to Dry
16,15,2021,16,Turkish,2021-10-10,58,Dry to Wet
17,16,2021,17,United States,2021-10-24,56,Dry to Wet
18,17,2021,18,Mexico City,2021-11-07,71,Sunny & Dry
19,18,2021,19,São Paulo,2021-11-14,71,Sunny & Dry
20,19,2021,20,Qatar,2021-11-21,57,Warm & Dry
21,20,2021,21,Saudi Arabian,2021-12-05,50,Warm & Dry
22,21,2021,22,Abu Dhabi,2021-12-12,58,Sunny & Dry
23,1,2022,1,Bahrain,2022-03-20,57,Warm & Dry
24,20,2022,2,Saudi Arabian,2022-03-27,50,Warm & Dry
25,22,2022,3,Australian,2022-04-10,58,Wet to Dry
26,2,2022,4,Emilia Romagna,2022-04-24,63,Wet to Dry
27,23,2022,5,Miami,2022-05-08,57,Wet to Dry
28,4,2022,6,Spanish,2022-05-22,66,Warm & Dry
29,5,2022,7,Monaco,2022-05-29,64,Wet to Dry
30,6,2022,8,Azerbaijan,2022-06-12,51,Sunny & Dry
31,24,2022,9,Canada,2022-06-19,70,Sunny & Dry
32,9,2022,10,British,2022-07-03,52,Dry to Wet
33,8,2022,11,Austrian,2022-07-10,71,Wet to Dry
34,7,2022,12,French,2022-07-24,53,Hot & Dry
35,10,2022,13,Hungarian,2022-07-31,70,Wet
36,11,2022,14,Belgian,2022-08-28,44,Dry to Wet
37,12,2022,15,Dutch,2022-09-04,72,Wet to Dry
38,13,2022,16,Italian,2022-09-11,53,Sunny & Dry
39,25,2022,17,Singapore,2022-10-02,59,Wet
40,26,2022,18,Japanese,2022-10-09,28,Severe Rain
41,16,2022,19,United States,2022-10-23,56,Warm & Dry
42,17,2022,20,Mexico City,2022-10-30,71,Wet to Dry
43,18,2022,21,São Paulo,2022-11-13,71,Warm & Dry
44,21,2022,22,Abu Dhabi,2022-11-20,58,Warm & Dry
45,1,2023,1,Bahrain,2023-03-05,57,Warm & Dry
46,20,2023,2,Saudi Arabian,2023-03-19,50,Warm & Dry
47,22,2023,3,Australian,2023-04-02,58,Cool & Dry
48,6,2023,4,Azerbaijan,2023-04-30,51,Wet to Dry
49,23,2023,5,Miami,2023-05-07,57,Wet to Dry
50,2,2023,6,Emilia Romagna,2023-05-21,0,-
51,5,2023,7,Monaco,2023-05-28,78,Wet
52,4,2023,8,Spanish,2023-06-04,66,Wet
53,24,2023,9,Canada,2023-06-18,70,Wet to Dry
54,8,2023,10,Austrian,2023-07-02,71,Dry to Wet
55,9,2023,11,British,2023-07-09,52,Dry to Wet
56,10,2023,12,Hungarian,2023-07-23,70,Warm & Dry
57,11,2023,13,Belgian,2023-07-30,44,Wet to Dry
58,12,2023,14,Dutch,2023-08-27,72,Wet to Dry
59,13,2023,15,Italian,2023-09-03,51,Sunny & Dry
60,25,2023,16,Singapore,2023-09-17,62,Wet to Dry
61,26,2023,17,Japanese,2023-09-24,53,Sunny & Dry
62,19,2023,18,Qatar,2023-10-08,57,Hot & Dry
63,16,2023,19,United States,2023-10-22,56,Warm & Dry
64,17,2023,20,Mexico City,2023-10-29,71,Dry to Wet
65,18,2023,21,São Paulo,2023-11-05,71,Dry to Wet
66,27,2023,22,Las Vegas,2023-11-18,50,Sunny & Dry
