ResultID,RaceID,DriverID,TeamID,Pos,Points,Standings,LapTime
1,1,11,MER,1,25,Finished,01:32:03.897
2,1,10,RBR,2,18,Finished,+0.745
3,1,18,MER,3,16,Finished,+37.383
4,1,16,MCL,4,12,Finished,+46.466
5,1,17,RBR,5,10,Finished,+52.047
6,1,12,FER,6,8,Finished,+59.090
7,1,20,MCL,7,6,Finished,+66.004
8,1,21,FER,8,4,Finished,+67.100
9,1,23,AT,9,2,Finished,+85.692
10,1,26,AMR,10,1,Finished,+86.713
11,1,33,SAU,11,0,Finished,+88.864
12,1,34,SAU,12,0,Finished,+1 Lap
13,1,24,ALP,13,0,Finished,+1 Lap
14,1,22,WIL,14,0,Finished,+1 Lap
15,1,32,AMR,15,0,Finished,+1 Lap
16,1,30,HAS,16,0,Finished,+1 Lap
17,1,8,AT,NULL,0,DNF,NULL
18,1,31,WIL,NULL,0,DNF,NULL
19,1,25,ALP,NULL,0,DNF,NULL
20,1,36,HAS,NULL,0,DNF,NULL
21,2,10,RBR,1,25,Finished,02:02:34.598
22,2,11,MER,2,19,Finished,+22.000
23,2,16,MCL,3,15,Finished,+23.702
24,2,12,FER,4,12,Finished,+25.579
25,2,21,FER,5,10,Finished,+27.036
26,2,20,MCL,6,8,Finished,+51.220
27,2,8,AT,7,6,Finished,+52.818
28,2,26,AMR,8,4,Finished,+56.909
29,2,24,ALP,9,2,Finished,+65.704
30,2,25,ALP,10,1,Finished,+66.561
31,2,17,RBR,11,0,Finished,+67.151
32,2,23,AT,12,0,Finished,+73.184
33,2,33,SAU,13,0,Finished,+94.773
34,2,34,SAU,14,0,Finished,+1 Lap
35,2,32,AMR,NULL,0,DNF,NULL
36,2,30,HAS,16,0,Finished,+2 Laps
37,2,36,HAS,17,0,Finished,+2 Laps
38,2,18,MER,NULL,0,DNF,NULL
39,2,22,WIL,NULL,0,DNF,NULL
40,2,31,WIL,NULL,0,DNF,NULL
41,3,11,MER,1,25,Finished,01:34:31.421
42,3,10,RBR,2,18,Finished,+29.148
43,3,18,MER,3,16,Finished,+33.530
44,3,17,RBR,4,12,Finished,+39.735
45,3,16,MCL,5,10,Finished,+51.369
46,3,12,FER,6,8,Finished,+55.781
47,3,24,ALP,7,6,Finished,+63.749
